06-08-3828859,Air,Teq,0.0008,1,kg,2009
06-08-3828859,Air,Teq,0.0008,1,kg,2007
06-08-3828859,Air,Teq,0.0008,1,kg,2008
13-40-1354087,Air,Teq,0.0008,1,kg,2011
06-08-3828859,Air,Teq,0.0008,1,kg,2010
06-05-100-0388700,Air,Teq,0.0008759999999999999,1,kg,2007
12-30670480000,Air,Teq,0.0008960000000000001,1,kg,2007
06-05-100-0388700,Air,Teq,0.0009,1,kg,2013
12-60510400000,Air,Teq,0.0009449999999999999,1,kg,2012
06-05-100-0989148,Water,Teq,0.001,1,kg,2009
06-05-100-0989137,Water,Teq,0.001,1,kg,2011
06-09-100-0135-0001,Air,Teq,0.001,1,kg,2007
14-80-56918040000,Air,Teq,0.001,1,kg,2008
06-05-100-0989148,Water,Teq,0.001,1,kg,2011
06-05-100-0989137,Water,Teq,0.001,1,kg,2009
06-08-7785534,Air,Teq,0.001,1,kg,2007
06-08-7785534,Air,Teq,0.001,1,kg,2013
06-05-100-0989148,Water,Teq,0.001,1,kg,2010
06-05-100-0989137,Water,Teq,0.001,1,kg,2010
06-05-100-0077961,Air,Teq,0.00103,1,kg,2015
06-05-100-0388700,Air,Teq,0.0010400000000000001,1,kg,2012
12-60510400000,Air,Teq,0.00106,1,kg,2008
06-05-100-0077961,Air,Teq,0.00109,1,kg,2014
06-05-100-0388700,Air,Teq,0.0011,1,kg,2014
06-05-100-0388700,Air,Teq,0.0011,1,kg,2015
06-10-0078669,Air,Teq,0.00115,1,kg,2012
07-03-4015103,Air,Teq,0.00126,1,kg,2012
12-10651670000,Air,Teq,0.00132,1,kg,2011
06-05-100-0077961,Air,Teq,0.0015199999999999999,1,kg,2011
06-05-100-0082185,Air,Teq,0.00156,1,kg,2015
06-05-100-0209686,Air,Teq,0.00158,1,kg,2014
06-05-100-0077961,Air,Teq,0.00162,1,kg,2012
06-05-100-0209686,Air,Teq,0.00165,1,kg,2015
06-05-100-0209686,Air,Teq,0.00168,1,kg,2013
06-05-100-0077961,Air,Teq,0.0016899999999999999,1,kg,2013
06-05-100-0077961,Air,Teq,0.0018,1,kg,2009
12-30670480000,Air,Teq,0.00185,1,kg,2015
12-30670480000,Air,Teq,0.0019199999999999998,1,kg,2014
06-05-100-0989137,Water,Teq,0.002,1,kg,2008
06-05-100-0989137,Water,Teq,0.002,1,kg,2007
06-05-100-0077961,Air,Teq,0.00221,1,kg,2010
06-05-100-0077961,Air,Teq,0.00234,1,kg,2008
06-05-100-0077961,Air,Teq,0.00245,1,kg,2007
07-03-4015103,Air,Teq,0.0025,1,kg,2007
12-10651670000,Air,Teq,0.0027199999999999998,1,kg,2010
06-05-100-0209686,Air,Teq,0.00307,1,kg,2009
06-05-100-0209686,Air,Teq,0.00313,1,kg,2012
06-05-100-0209686,Air,Teq,0.0036,1,kg,2010
06-05-100-0209686,Air,Teq,0.0037,1,kg,2011
06-05-100-0209686,Air,Teq,0.00385,1,kg,2008
03-09-09281734280,Water,Teq,0.00428,1,kg,2008
07-03-4015103,Air,Teq,0.0043,1,kg,2009
06-05-100-0209686,Air,Teq,0.005,1,kg,2007
06-05-300-0215443,Air,Teq,0.00618,1,kg,2014
06-05-300-0215443,Air,Teq,0.00634,1,kg,2015
03-01-01211092310,Air,Teq,0.006999999999999999,1,kg,2008
03-01-01211092310,Air,Teq,0.006999999999999999,1,kg,2007
03-01-01211092310,Air,Teq,0.0071,1,kg,2009
07-03-4015103,Air,Teq,0.0075,1,kg,2008
06-10-0078669,Air,Teq,0.00923,1,kg,2009
06-10-0078669,Air,Teq,0.0109,1,kg,2010
06-10-0078669,Air,Teq,0.0171,1,kg,2007
06-10-0078669,Air,Teq,0.0171,1,kg,2008
03-10-10285630660,Air,Teq,0.019,1,kg,2007
06-05-900-0014514,Air,PCBs,0.10300000000000001,1,kg,2014
06-10-0065854,Air,PCBs,0.10400000000000001,1,kg,2014
06-05-100-0122580,Air,PCBs,0.11599999999999999,1,kg,2009
14-70-63809683116,Air,PCBs,0.125,1,kg,2013
06-05-900-0014514,Air,PCBs,0.146,1,kg,2012
14-70-63809683116,Air,PCBs,0.17,1,kg,2015
14-70-63809683116,Air,PCBs,0.18,1,kg,2014
14-70-63809683116,Air,PCBs,0.24,1,kg,2009
06-05-100-0226642,Water,PCBs,0.28,1,kg,2008
01-20-04000540467,Water,PCBs,0.63,1,kg,2008
01-20-04000540467,Water,PCBs,0.67,1,kg,2009
01-20-04000540467,Water,PCBs,0.7240000000000001,1,kg,2007
01-20-04000540467,Water,PCBs,0.75,1,kg,2010
