06-05-900-0045033,Kraftwerk Werdohl-Elverlingsen,Nordrhein-Westfalen,Steinkohle,,1982,1971,496.0,stillgelegt,2,Mark-E AG
06-08-1741292,Heizkraftwerk Altbach/Deizisau,Baden-Württemberg,Steinkohle,Ja,1997,1971,1022.0,in Betrieb,6,EnBW AG
06-05-100-0853075,KW West,Nordrhein-Westfalen,Steinkohle,Nein,1971,1971,640.0,stillgelegt,2,Steag GmbH
06-09-600-0025-0001,Heizkraftwerke an der Friedensbrücke,Bayern,Erdgas,Ja,2009,1971,122.0,in Betrieb,4,Heizkraftwerk Würzburg GmbH
07-01-126351,Gemeinschaftskraftwerk Weig,Rheinland-Pfalz,Erdgas,Ja,2013,1971,47.199999999999996,in Betrieb,3,Moritz J. Weig GmbH & Co KG
01-50-02000283604,Gemeinschaftskraftwerk Kiel,Schleswig-Holstein,Steinkohle,Ja,1970,1970,323.0,in Betrieb,1,Gemeinschaftskraftwerk Kiel GmbH
06-09-671-0140-0001,Heizkraftwerk der Sappi Stockstadt GmbH,Bayern,Steinkohle,Ja,1970,1970,24.8,in Betrieb,1,Sappi Stockstadt GmbH
06-04-11_2039669_2_0,Farge,Bremen,Steinkohle,Nein,1969,1969,350.0,in Betrieb,1,ENGIE Deutschland AG
06-11-01-1105602,Reuter,Berlin,Steinkohle,Ja,1969,1969,124.0,in Betrieb,1,Vattenfall GmbH
06-04-11_2001178_8_2,KW Hafen,Bremen,Steinkohle,Ja,2016,1968,586.3,in Betrieb,3,Gemeinschaftskraftwerk Bremen GmbH und Co. KG
03-09-09281337040,PKV Kraftwerk,Niedersachsen,Erdgas,Ja,1989,1968,58.58,in Betrieb,2,Papier- u. Kartonfabrik Varel GmbH & Co. KG
06-05-500-0342658,Scholven,Nordrhein-Westfalen,Steinkohle,Ja,1985,1968,2126.0,in Betrieb,6,Uniper SE
06-09-761-0026-0001,UPM Augsburg,Bayern,Erdgas,Ja,1967,1967,29.0,vorläufig stillgelegt,1,UPM GmbH Werk Augsburg
06-05-500-0875741,Kraftwerk III,Nordrhein-Westfalen,Steinkohle,Ja,2016,1966,383.9,in Betrieb,6,Evonik Degussa GmbH
