KraftwerkID;BlockID;Unternehmen;Kraftwerksname;PLZ;Ort;Straße und Hausnummer;Bundesland;Blockname;"Inbetriebnahme
(Jahr)";Status;Energieträger;"Vergütungsfähig nach EEG
(ja/nein)";"Wärmeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung in MW;Bezeichnung Verknüpfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemäß Netzbetreiber;Netz- oder Umspannebene des Anschlusses in kV;Name Stromnetzbetreiber
06-04-11/2039669/2/0;BNA0147;ENGIE Deutschland AG;Farge;28777;Bremen;Wilhelmshavener Str. 6;Bremen;Farge;1969;in Betrieb;Steinkohle;Nein;Nein;350.0;Farge - FA1;220;TenneT TSO GmbH 
06-05-500-0342658;BNA0331;Uniper Kraftwerke GmbH ;Scholven;45896;Gelsenkirchen;;Nordrhein-Westfalen;C;1969;in Betrieb;Steinkohle;Nein;Ja;345.0;Scholven;220;Amprion GmbH
06-05-500-0342658;BNA0332;Uniper Kraftwerke GmbH ;Scholven;45896;Gelsenkirchen;;Nordrhein-Westfalen;B;1968;in Betrieb;Steinkohle;Nein;Ja;345.0;Scholven;220;Amprion GmbH
;BNA0203;Uniper Kraftwerke GmbH ;Knepper;44357;Dortmund;;Nordrhein-Westfalen;C;1971;Endgültig Stillgelegt 2014 (mit StA);Steinkohle;Nein;Ja;345.0;Pöppinghausen;380;Amprion GmbH
06-05-500-0342658;BNA0333;Uniper Kraftwerke GmbH ;Scholven;45896;Gelsenkirchen;;Nordrhein-Westfalen;D;1970;Endgültig Stillgelegt 2014 (mit StA);Steinkohle;Nein;Ja;345.0;Scholven;220;Amprion GmbH
06-05-500-0342658;BNA0334;Uniper Kraftwerke GmbH ;Scholven;45896;Gelsenkirchen;;Nordrhein-Westfalen;E;1971;Endgültig Stillgelegt 2014 (mit StA);Steinkohle;Nein;Ja;345.0;Scholven;220;Amprion GmbH
06-08-1741292;BNA0019;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestraße 11;Baden-Württemberg;ALT HKW 2 (DT Solobetrieb);1997;in Betrieb;Steinkohle;Nein;Ja;336.0;Altbach;380;Transnet BW GmbH
06-09-100-0088-0001;BNA0969b;SWM Services GmbH;Nord 2;85774;Unterföhring;;Bayern;2;1991;in Betrieb;Steinkohle;Nein;Ja;332.7;HUW Föhring;110;SWM Infrastruktur GmbH
06-05-900-0884101;BNA0619;Steag GmbH;KW Lünen;44537;Lünen;Moltkestr. 215;Nordrhein-Westfalen;Lünen 7;1969;in Betrieb;Steinkohle;Nein;Ja;324.0;220 kV Schaltanlage Elmenhorst;220;Amprion GmbH/DB Energie GmbH
01-50-02000283604;BNA0526;Gemeinschaftskraftwerk Kiel GmbH;Gemeinschaftskraftwerk Kiel;24149;Kiel;;Schleswig-Holstein;;1970;in Betrieb;Steinkohle;Nein;Ja;323.0;Umspannwerk Hasselfelde;220;TenneT TSO GmbH 
06-05-100-0853075;BNA0990;Steag GmbH;KW West;46562;Voerde;Frankfurter Str. 430;Nordrhein-Westfalen;West 1;1971;in Betrieb;Steinkohle;Nein;Nein;322.0;220 kV Schaltanlage Möllen;220;Amprion GmbH
06-05-300-0877384;BNA1025;RWE Power AG;Weisweiler;52249;Eschweiler-Weisweiler;;Nordrhein-Westfalen;E;1965;in Betrieb;Braunkohle;Nein;Nein;321.0;Zukunft;110;Westnetz GmbH
06-05-300-0877384;BNA1026;RWE Power AG;Weisweiler;52249;Eschweiler-Weisweiler;;Nordrhein-Westfalen;F;1967;in Betrieb;Braunkohle;Nein;Nein;321.0;Oberzier;380;Amprion GmbH
06-05-100-0853075;BNA0989;Steag GmbH;KW West;46563;Voerde;Frankfurter Str. 430;Nordrhein-Westfalen;West 2;1971;in Betrieb;Steinkohle;Nein;Nein;318.0;220 kV Schaltanlage Möllen;220;Amprion GmbH
06-05-900-0045033;BNA1037;Mark-E AG;Kraftwerk Werdohl-Elverlingsen;58791;Werdohl;;Nordrhein-Westfalen;E4;1982;in Betrieb;Steinkohle;Nein;;310.0;U205;220;Enervie AssetNetWork GmbH 
;BNA0813;Uniper Kraftwerke GmbH ;Kraftwerk Veltheim;32457;Porta Westfalica;;Nordrhein-Westfalen;3;1970;Endgültig Stillgelegt 2015 (mit StA);Steinkohle;Nein;Nein;303.0;UW - Veltheim;220;Netz Veltheim GmbH
06-04-11/2001178/8/0;BNA0146;swb Erzeugung GmbH & Co. KG;KW Hafen;28237;Bremen;Otavistr. 7-9;Bremen;Block 6;1979;in Betrieb;Steinkohle;Nein;Ja;300.0;DE0072032823700000000000000232558;110;Wesernetz Bremen GmbH
06-05-300-0326774;BNA0706;RWE Power AG;Niederaußem;50129;Bergheim;;Nordrhein-Westfalen;F;1971;in Betrieb;Braunkohle;Nein;Nein;299.0;Opladen;220;Amprion GmbH
06-05-300-0326774;BNA0705;RWE Power AG;Niederaußem;50129;Bergheim;;Nordrhein-Westfalen;D;1968;in Betrieb;Braunkohle;Nein;Nein;297.0;Brauweiler;220;Amprion GmbH
